Fecha;AGV;Tag
24/01/2026 8:00:00;0007;0100
24/01/2026 8:00:10;0007;0200
24/01/2026 8:00:20;0007;0300
24/01/2026 8:00:30;0007;0400
24/01/2026 8:00:40;0007;0100
24/01/2026 8:00:50;0007;0200
24/01/2026 8:01:00;0007;0300
24/01/2026 8:01:10;0007;0400
24/01/2026 8:01:20;0007;0100
24/01/2026 8:01:30;0007;0200
24/01/2026 8:01:40;0007;0300
24/01/2026 8:01:50;0007;0400
24/01/2026 8:02:00;0042;0100
24/01/2026 8:02:10;0042;0200
24/01/2026 8:02:20;0042;0300
24/01/2026 8:02:30;0042;0400
24/01/2026 8:02:40;0042;0100
24/01/2026 8:02:50;0042;0200
24/01/2026 8:03:00;0042;0300
24/01/2026 8:03:10;0042;0400
